title,subtitle,price,description,link,main_image,alternate_image
ScalpelCarbon SE 1,Carbon SE 1,"$6,150","A lightning-fast XC bike with Shimano XT shifting, 120mm RockShox SID fork & carbon wheels",/en-us/bikes/mountain/trail-bikes/scalpel-se/scalpel-carbon-se-1,https://embed.widencdn.net/img/dorelrl/yo0mrapxsp/500px@1x/C23_C24251M_Scalpel_Crb_SE_1_RRD_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/hho3omklsi/500px@1x/C23_C24251M_Scalpel_Crb_SE_1_RRD_3Q.jpg?color=f8f8f8&q=90
Tesoro Neo X1 StepThru,1 StepThru,"$4,600","A rugged urban ebike with up to 109mi range, Bosch Performance Speed motor & 750Wh battery",/en-us/bikes/electric/e-touring/tesoro-neo-x/tesoro-neo-x-1-stepthru,https://embed.widencdn.net/img/dorelrl/rnhofvkphc/500px@1x/C24_C66162U_Tesoro_Neo_X_1_STH_GRY_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/te6muu3dun/500px@1x/C24_C66162U_Tesoro_Neo_X_1_STH_GRY_3Q.jpg?color=f8f8f8&q=90
Tesoro Neo X1,1,"$4,600","A rugged urban ebike with up to 109mi range, Bosch Performance Speed motor & 750Wh battery",/en-us/bikes/electric/e-touring/tesoro-neo-x/tesoro-neo-x-1,https://embed.widencdn.net/img/dorelrl/faxnopwhif/500px@1x/C23_C66172U_Tesoro_Neo_X_1_GRY_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/qadqvwftap/500px@1x/C23_C66172U_Tesoro_Neo_X_1_GRY_3Q.jpg?color=f8f8f8&q=90
Moterra5,5,"$4,550","An enduro eMTB, Shimano Deore, 140mm fork & 60mi range Shimano motor",/en-us/bikes/electric/e-mountain/moterra-neo/moterra-neo-5,https://embed.widencdn.net/img/dorelrl/nojdhnbtok/500px@1x/C21_C69201M_Moterra_Neo_5_MAT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/pra41uigyb/500px@1x/C21_C69201M_Moterra_Neo_5_MAT_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOCarbon Disc Ultegra,Carbon Disc Ultegra,"$4,550",World famous race bike with 2x11 Shimano Ultegra shifting & carbon wheels,/en-us/bikes/road/race/supersix-evo/supersix-evo-carbon-disc-ultegra,https://embed.widencdn.net/img/dorelrl/hwmsbe5ss3/500px@1x/C21_C11651M_SuperSix_EVO_Crb_PUR_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/brc83gsd98/500px@1x/C21_C11651M_SuperSix_EVO_Crb_PUR_3Q.jpg?color=f8f8f8&q=90
SuperSix EVO3,3,"$4,500","Beautifully fast and light road race bike, with Shimano 105 Di2, DT-Swiss R470 wheels and Vision Trimax Aero bars",/en-us/bikes/road/race/supersix-evo/supersix-evo-3,https://embed.widencdn.net/img/dorelrl/ghkbdygrsq/500px@1x/C23_C11502U_SuperSix_EVO_Crb_3_CHK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/jlk9y6mak7/500px@1x/C23_C11502U_SuperSix_EVO_Crb_3_CHK_3Q.jpg?color=f8f8f8&q=90
Topstone Carbon2 Lefty,2 Lefty,"$4,500","Full suspension gravel bike with Lefty fork, Shimano GRX800 12-speed group & dropper seatpost",/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-lefty,https://embed.widencdn.net/img/dorelrl/rrohfjxjnd/500px@1x/C24_C15203U_Topstone_Crb_2_Lefty_CAF_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/jadfpqmvuf/500px@1x/C24_C15203U_Topstone_Crb_2_Lefty_CAF_3Q.jpg?color=f8f8f8&q=90
Topstone Carbon2 L,2 L,"$4,500","Gravel bike with rear suspension, SmartSense lights and a Shimano GRX820 gravel group",/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-l,https://embed.widencdn.net/img/dorelrl/ye65cj8jr8/500px@1x/C24_C15253U_Topstone_Crb_2_L_CPW_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/wj7ratnio1/500px@1x/C24_C15253U_Topstone_Crb_2_L_CPW_3Q.jpg?color=f8f8f8&q=90
Synapse Carbon2 LE,2 LE,"$4,500",Our famously smooth endurance road bike with SmartSense lights & Shimano 105 Di2 electronic shifting,/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-2-le,https://embed.widencdn.net/img/dorelrl/maf3jtzd5e/500px@1x/C22_C12252U_Synapse_Crb_2_LE_SBK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/cam8m0cc4h/500px@1x/C22_C12252U_Synapse_Crb_2_LE_SBK_3Q.jpg?color=f8f8f8&q=90
TopstoneLAB71 Frameset,LAB71 Frameset,"$4,500","The ultimate gravel frameset - the lightest, most refined Topstone Carbon ever.",/en-us/bikes/road/gravel/topstone-carbon/topstone-lab71-frameset,https://embed.widencdn.net/img/dorelrl/8ahoguv8ro/500px@1x/C23_C15493U_LAB71_Topstone_AM_Frm_BLK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/xs1wzdfhnl/500px@1x/C23_C15493U_LAB71_Topstone_AM_Frm_BLK_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOHi-MOD Frameset,Hi-MOD Frameset,"$4,500",An exceptionally fast and light road race frameset. Built to chase podiums.,/en-us/bikes/road/race/supersix-evo/supersix-evo-hi-mod-frameset,https://embed.widencdn.net/img/dorelrl/bsdfe1q71m/500px@1x/C23_C11182U_SuperSix_EVO_HM_AM_Frm_SBK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/ux3pj9qbex/500px@1x/C23_C11182U_SuperSix_EVO_HM_AM_Frm_SBK_3Q.jpg?color=f8f8f8&q=90
Topstone Neo CarbonLefty 3,Lefty 3,"$6,350","An electric gravel bike with Shimano GRX shifting, 78mi Bosch motor & 30mm Oliver fork",/en-us/bikes/electric/e-road/topstone-neo/topstone-neo-carbon-lefty-3-c62371m,https://embed.widencdn.net/img/dorelrl/rw4avap4tu/500px@1x/C22_C62371M_Topstone_Neo_Crb_3_Lefty_Spd_HLT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/hwxa7u357q/500px@1x/C22_C62371M_Topstone_Neo_Crb_3_Lefty_Spd_HLT_3Q.jpg?color=f8f8f8&q=90
Adventure Neo1 EQ,1 EQ,"$4,400","Our most comfortable eBike with up to 85mi range Bosch motor, plush saddle & gear racks",/en-us/bikes/electric/e-urban/adventure-neo/adventure-neo-1-eq,https://embed.widencdn.net/img/dorelrl/ox6ub7v9v7/500px@1x/C21_C68101U_Adventure_Neo_1_EQ_EMR_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/rom2rmys1u/500px@1x/C21_C68101U_Adventure_Neo_1_EQ_EMR_3Q.jpg?color=f8f8f8&q=90
Jekyll1,1,"$6,250",A carbon enduro descender with SRAM GX shifting and a Fox Factory 38 fork,/en-us/bikes/mountain/trail-bikes/jekyll/jekyll-1-c21102u,https://embed.widencdn.net/img/dorelrl/biearlko0t/500px@1x/C21_C21102U_Jekyll_1_GRA_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/sxra7owjli/500px@1x/C21_C21102U_Jekyll_1_GRA_3Q.jpg?color=f8f8f8&q=90
HabitCarbon 2,Carbon 2,"$4,350","A fun-focused trail mtb with 130/140mm travel, Shimano XT-SLX 12-speed and Pike Select fork",/en-us/bikes/mountain/trail-bikes/habit/habit-carbon-2,https://embed.widencdn.net/img/dorelrl/8ayvhjvghd/500px@1x/C23_C23201U_Habit_Crb_2_MGO_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/bwi53u2s0v/500px@1x/C23_C23201U_Habit_Crb_2_MGO_3Q.jpg?color=f8f8f8&q=90
Cargowagen Neo,N/A,"$4,300","A versatile, compact, kid and cargo hauler with Shimano Deore LinkGlide shifting, Bosch Performance Speed motor and a 545Wh battery",/en-us/bikes/electric/e-cargo/cargowagen-neo/cargowagen-neo,https://embed.widencdn.net/img/dorelrl/itvdygxomy/500px@1x/C23_C67153U_Cargowagen_Neo_SGE_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/hitdxngkjv/500px@1x/C23_C67153U_Cargowagen_Neo_SGE_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOCarbon Disc 105 Di2,Carbon Disc 105 Di2,"$4,250",Light and fast race bike with Shimano 105 Di2 electronic shifting & hydraulic disc brakes,/en-us/bikes/road/race/supersix-evo/supersix-evo-carbon-disc-105-di2,https://embed.widencdn.net/img/dorelrl/gefkmougru/500px@1x/C22_C11702M_SuperSix_EVO_Crb_Disc_105_Di2_BBQ_PD.jpg?color=f8f8f8&q=90,N/A
HabitCarbon 1,Carbon 1,"$5,550","A fun-focused trail mtb with 130/140mm travel, SRAM GX Eagle & Pike Select+ fork",/en-us/bikes/mountain/trail-bikes/habit/habit-carbon-1,https://embed.widencdn.net/img/dorelrl/p3a2nid4br/500px@1x/C23_C23101U_Habit_Crb_1_JDE_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/qvjl2shgqp/500px@1x/C23_C23101U_Habit_Crb_1_JDE_3Q.jpg?color=f8f8f8&q=90
HabitCarbon LT 1,Carbon LT 1,"$5,550","A progressive trail mountain bike with 140/150mm travel, SRAM GX Eagle, Lyrik Select+ fork and Code R brakes",/en-us/bikes/mountain/trail-bikes/habit/habit-carbon-lt-1,https://embed.widencdn.net/img/dorelrl/yscoruo9lc/500px@1x/C23_C23152U_Habit_Crb_LT_1_CHK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/2y9rlqfmor/500px@1x/C23_C23152U_Habit_Crb_LT_1_CHK_3Q.jpg?color=f8f8f8&q=90
ScalpelCarbon SE 2,Carbon SE 2,"$4,050",A lightning-fast XC bike with Shimano XT shifting & 120mm RockShox SID fork,/en-us/bikes/mountain/trail-bikes/scalpel-se/scalpel-carbon-se-2-c24852u,https://embed.widencdn.net/img/dorelrl/fcyykd9fnk/500px@1x/C21_C24852U_Scalpel_Crb_SE_2_BKM_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/p0gjnkmlfx/500px@1x/C21_C24852U_Scalpel_Crb_SE_2_BKM_3Q.jpg?color=f8f8f8&q=90
Moterra4,4,"$5,900","An enduro eMTB, SRAM SX, 150mm RockShox Silver R fork & 75mi Shimano motor",/en-us/bikes/electric/e-mountain/moterra-neo/moterra-neo-4-c65411u,https://embed.widencdn.net/img/dorelrl/ryyv3kotiq/500px@1x/C21_C65411U_Moterra_Neo_4_IOR_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/dwkow5fgoh/500px@1x/C21_C65411U_Moterra_Neo_4_IOR_3Q.jpg?color=f8f8f8&q=90
Moterra3,3,"$6,750","A lively trail eMTB with 150mm of travel, Bosch 750Wh system and Shimano XT/Deore 12-speed",/en-us/bikes/electric/e-mountain/moterra-neo/moterra-neo-3-c65372u,https://embed.widencdn.net/img/dorelrl/dqsiwwxf6b/500px@1x/C22_C65372U_Moterra_Neo_3_MRC_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/seiajw2xea/500px@1x/C22_C65372U_Moterra_Neo_3_MRC_3Q.jpg?color=f8f8f8&q=90
Scalpel4,4,"$4,000","A 120mm cross-country ripper with Shimano Deore M6100/XT 12-speed, a RockShox SID fork, and DownLow dropper post",/en-us/bikes/mountain/cross-country/scalpel/scalpel-4-c24554u,https://embed.widencdn.net/img/dorelrl/vxr8vhzhy3/500px@1x/C24_C24554U_Scalpel_Crb_4_SBK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/iu9fhykjqj/500px@1x/C24_C24554U_Scalpel_Crb_4_SBK_3Q.jpg?color=f8f8f8&q=90
Topstone CarbonApex AXS,Apex AXS,"$4,000","Gravel bike with rear suspension, SRAM Apex AXS EXPLR wireless electronic shifting & DT Swiss wheels",/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-apex-axs,https://embed.widencdn.net/img/dorelrl/d2hqje63k8/500px@1x/C23_C15703U_Topstone_Crb_Apex_AXS_ORC_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/4ulbzadeik/500px@1x/C23_C15703U_Topstone_Crb_Apex_AXS_ORC_3Q.jpg?color=f8f8f8&q=90
MoterraS4,S4,"$4,000","A lively trail e-MTB with 140mm of travel, with Shimano's EP6 drive system, 504Wh battery and CUES 11-speed drivetrain",/en-us/bikes/electric/e-mountain/moterra-neo/moterra-neo-s4-c65243u,https://embed.widencdn.net/img/dorelrl/dbxf38ijsu/500px@1x/C23_C65243U_Moterra_Neo_S4_SBK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/ewik4hnnth/500px@1x/C23_C65243U_Moterra_Neo_S4_SBK_3Q.jpg?color=f8f8f8&q=90
Mavaro Neo2 Low StepThru,2 Low StepThru,"$4,000",A premium low step-thru urban electric experience with up to 87 Miles range Bosch motor & front suspension,/en-us/bikes/electric/e-urban/mavaro-neo/mavaro-neo-2-low-stepthru,https://embed.widencdn.net/img/dorelrl/xdqc0t0d7c/500px@1x/C23_C68223U_Mavaro_Neo_2_C3_LSTH_MAT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/plffbbrvqf/500px@1x/C23_C68223U_Mavaro_Neo_2_C3_LSTH_MAT_3Q.jpg?color=f8f8f8&q=90
Tesoro Neo XSpeed,Speed,"$5,500",A rugged urban ebike with up to 73mi range Bosch motor & front suspension,/en-us/bikes/electric/e-urban/tesoro-neo-x/tesoro-neo-x-speed-c66852m,https://embed.widencdn.net/img/dorelrl/0f4mgckt4p/500px@1x/C21_C66101M_Tesoro_Neo_X_Speed_GRY_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/k1lazzvoeh/500px@1x/C21_C66101M_Tesoro_Neo_X_Speed_GRY_3Q.jpg?color=f8f8f8&q=90
Topstone Carbon2 Lefty,2 Lefty,"$4,250","Full suspension gravel bike with Lefty fork, Shimano GRX800 11-speed group & dropper seatpost",/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-lefty/2022,https://embed.widencdn.net/img/dorelrl/agxgom3ci7/500px@1x/C22_C15202U_Topstone_Crb_2_Lefty_GDT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/wvv9uyvjiv/500px@1x/C22_C15202U_Topstone_Crb_2_Lefty_GDT_3Q.jpg?color=f8f8f8&q=90
Topstone Carbon2 L,2 L,"$4,250","Gravel bike with rear suspension, SmartSense lights & a Shimano GRX800 11-speed group",/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-l/2022,https://embed.widencdn.net/img/dorelrl/kgqagzfxcm/500px@1x/C22_C15252U_Topstone_Crb_2_L_JDE_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/irsnhmsq3c/500px@1x/C22_C15252U_Topstone_Crb_2_L_JDE_3Q.jpg?color=f8f8f8&q=90
Tesoro Neo X2 StepThru,2 StepThru,"$3,750","A rugged urban ebike w/ 28 mph Bosch Performance motor, 625Wh battery and up to 85 mile range",/en-us/bikes/electric/e-touring/tesoro-neo-x/tesoro-neo-x-2-stepthru-c66262u,https://embed.widencdn.net/img/dorelrl/bmbcplecda/500px@1x/C23_C66262U_Tesoro_Neo_X_2_STH_MAT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/9pmh5dyj0d/500px@1x/C23_C66262U_Tesoro_Neo_X_2_STH_MAT_3Q.jpg?color=f8f8f8&q=90
Tesoro Neo X2,2,"$3,750","A rugged urban ebike w/ 28 mph Bosch Performance motor, 625Wh battery and up to 85 mile range",/en-us/bikes/electric/e-touring/tesoro-neo-x/tesoro-neo-x-2-c66242u,https://embed.widencdn.net/img/dorelrl/eq8iuoihud/500px@1x/C23_C66242U_Tesoro_Neo_X_2_MAT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/54tg0atnvm/500px@1x/C23_C66242U_Tesoro_Neo_X_2_MAT_3Q.jpg?color=f8f8f8&q=90
CAAD13105 Di2,105 Di2,"$3,700",The best alloy race bike with a carbon fork & 2x12 Shimano 105 Di2 electronic shifting,/en-us/bikes/road/race/caad13/caad13-105-di2,https://embed.widencdn.net/img/dorelrl/wicdjxf719/500px@1x/C22_C13452U_CAAD13_105_Di2_MRC_PD.jpg?color=f8f8f8&q=90,N/A
HabitLT 2,LT 2,"$3,625","A progressive trail mountain bike with 140/150mm travel, Shimano XT-SLX 12-speed, Lyrik fork and Deore 4-piston brakes",/en-us/bikes/mountain/trail-bikes/habit/habit-lt-2,https://embed.widencdn.net/img/dorelrl/tn81ksxwmz/500px@1x/C23_C23252U_Habit_LT_2_SBK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/ak6owswfpd/500px@1x/C23_C23252U_Habit_LT_2_SBK_3Q.jpg?color=f8f8f8&q=90
Topstone NeoSL 2,SL 2,"$3,625",A lightweight alloy electric gravel bike with Shimano GRX shifting & 47mi range motor,/en-us/bikes/electric/e-road/topstone-neo/topstone-neo-sl-2-smu,https://embed.widencdn.net/img/dorelrl/nzgertljan/500px@1x/C21_C62571M_Topstone_Neo_SL_GRA_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/xmhyigc9kq/500px@1x/C21_C62571M_Topstone_Neo_SL_GRA_3Q.jpg?color=f8f8f8&q=90
Adventure Neo2 EQ Speed,2 EQ Speed,"$3,525","Comfort meets speed, with a powerful 28mph motor, plush saddle, gear racks, and up to 72mi range",/en-us/bikes/electric/e-urban/adventure-neo/adventure-neo-2-eq-speed,https://embed.widencdn.net/img/dorelrl/zdnluzrdsj/500px@1x/C21_C68252U_Adventure_Neo_2_EQ_C3_SGG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/tfz4oopltf/500px@1x/C21_C68252U_Adventure_Neo_2_EQ_C3_SGG_3Q.jpg?color=f8f8f8&q=90
Adventure Neo2 EQ,2 EQ,"$3,525","Our most comfortable eBike with up to 80mi range Bosch motor, plush saddle & gear racks",/en-us/bikes/electric/e-urban/adventure-neo/adventure-neo-2-eq,https://embed.widencdn.net/img/dorelrl/dm6esu7cg8/500px@1x/C21_C68201U_Adventure_Neo_2_EQ_SGG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/odqwwdrote/500px@1x/C21_C68201U_Adventure_Neo_2_EQ_SGG_3Q.jpg?color=f8f8f8&q=90
Mavaro Neo3 Low StepThru,3 Low StepThru,"$3,500","A comfortable low step-thru urban electric bike with a Bosch motor, front suspension & up to 70 miles range",/en-us/bikes/electric/e-urban/mavaro-neo/mavaro-neo-3-low-stepthru,https://embed.widencdn.net/img/dorelrl/opcgquzxrb/500px@1x/C24_C68353U_Mavaro_Neo_3_LSTH_DBU_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/c0s86mhhzc/500px@1x/C24_C68353U_Mavaro_Neo_3_LSTH_DBU_3Q.jpg?color=f8f8f8&q=90
SuperSix EVO4,4,"$3,499","Beautifully fast and light road race bike, with Shimano 105, Vision Trimax Compact bars and Conceal stem",/en-us/bikes/road/race/supersix-evo/supersix-evo-4,https://embed.widencdn.net/img/dorelrl/fmjhzvlzku/500px@1x/C23_C11602U_SuperSix_EVO_Crb_4_BLK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/amppgq77c2/500px@1x/C23_C11602U_SuperSix_EVO_Crb_4_BLK_3Q.jpg?color=f8f8f8&q=90
Jekyll2,2,"$3,450",A carbon enduro descender with Shimano shifting & 170mm RockShox Zeb Select fork,/en-us/bikes/mountain/trail-bikes/jekyll/jekyll-2-c21202u,https://embed.widencdn.net/img/dorelrl/vgyl60r31e/500px@1x/C21_C21202U_Jekyll_2_GRA_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/ovznget0qp/500px@1x/C21_C21202U_Jekyll_2_GRA_3Q.jpg?color=f8f8f8&q=90
MoterraS3,S3,"$4,500","A lively trail e-MTB with 140mm of travel, with Shimano's EP6 drive system, 630Wh battery and CUES 6000 11-speed drivetrain",/en-us/bikes/electric/e-mountain/moterra-neo/moterra-neo-s3,https://embed.widencdn.net/img/dorelrl/hlwnxpx0hn/500px@1x/C23_C65233U_Moterra_Neo_S3_PNE_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/ygkmvvjjc1/500px@1x/C23_C65233U_Moterra_Neo_S3_PNE_3Q.jpg?color=f8f8f8&q=90
Topstone Carbon3 L,3 L,"$3,325","Gravel bike with rear suspension, SmartSense lights and a Shimano GRX820/600 drivetrain",/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-3-l,https://embed.widencdn.net/img/dorelrl/qtntatsvy7/500px@1x/C23_C15303U_Topstone_Crb_3_L_CRB_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/qsdsez06tk/500px@1x/C23_C15303U_Topstone_Crb_3_L_CRB_3Q.jpg?color=f8f8f8&q=90
CAAD13Disc Rival AXS,Disc Rival AXS,"$3,325",The best alloy race bike with carbon fork & 2x12 SRAM Rival shifting,/en-us/bikes/road/race/caad13/caad13-disc-rival,https://embed.widencdn.net/img/dorelrl/jn8fyz4foi/500px@1x/C22_C13201U_CAAD13_Disc_Rival_AXS_CHK_PD.jpg?color=f8f8f8&q=90,N/A
HabitWaves,Waves,"$3,325",An all-mountain alloy trail bike with SRAM SX shifting & 140mm RockShox Yari RC fork,/en-us/bikes/mountain/trail-bikes/habit/habit-waves,https://embed.widencdn.net/img/dorelrl/0mifrwldyr/500px@1x/C21_C23451M_Habit_Waves_RAW_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/addqcvi1xh/500px@1x/C21_C23451M_Habit_Waves_RAW_3Q.jpg?color=f8f8f8&q=90
Tesoro Neo X3,3,"$3,300","A rugged urban ebike w/ 28 mph Bosch Performance Sport motor, 500Wh battery and up to 70 mile range",/en-us/bikes/electric/e-touring/tesoro-neo-x/tesoro-neo-x-3-c66014u,https://embed.widencdn.net/img/dorelrl/ebojprqz2e/500px@1x/C24_C66014U_Tesoro_Neo_X_3_MRC_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/3pmomjgbqf/500px@1x/C24_C66014U_Tesoro_Neo_X_3_MRC_3Q.jpg?color=f8f8f8&q=90
Topstone Carbon5,5,"$3,275",Gravel bike with rear suspension with 2x11 Shimano GRX shifting,/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-5,https://embed.widencdn.net/img/dorelrl/6xvk7o87ya/500px@1x/C21_C15601M_Topstone_Crb_5_GRA_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/et5xuqz69h/500px@1x/C21_C15601M_Topstone_Crb_5_GRA_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOCarbon Disc 105,Carbon Disc 105,"$3,225",World famous race bike with 2x11 Shimano 105 shifting,/en-us/bikes/road/race/supersix-evo/supersix-evo-carbon-disc-105,https://embed.widencdn.net/img/dorelrl/zhsataafol/500px@1x/C21_C11751M_SuperSix_EVO_Crb_BPL_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/r2tfea2o8c/500px@1x/C21_C11751M_SuperSix_EVO_Crb_BPL_3Q.jpg?color=f8f8f8&q=90
Adventure Neo3 EQ,3 EQ,"$3,125","Our most comfortable eBike with up to 65mi range Bosch motor, plush saddle & gear racks",/en-us/bikes/electric/e-urban/adventure-neo/adventure-neo-3-eq,https://embed.widencdn.net/img/dorelrl/trlcwj0b9f/500px@1x/C21_C68301U_Adventure_Neo_3_EQ_RRD_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/8n2dcvd6kr/500px@1x/C21_C68301U_Adventure_Neo_3_EQ_RRD_3Q.jpg?color=f8f8f8&q=90
Tesoro Neo X2 Remixte,2 Remixte,"$4,150",A rugged urban step-thru ebike with up to 130km/ 80mi range Bosch motor & front suspension,/en-us/bikes/electric/e-touring/tesoro-neo-x/tesoro-neo-x-2-remixte-smu,https://embed.widencdn.net/img/dorelrl/4wxxcwgyob/500px@1x/C21_C66321U_Tesoro_Neo_X_MDN_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/o9bndroz5e/500px@1x/C21_C66321U_Tesoro_Neo_X_MDN_3Q.jpg?color=f8f8f8&q=90
Tesoro Neo X2,2,"$4,150",A rugged urban ebike with up to 130km/ 80mi range Bosch motor & front suspension,/en-us/bikes/electric/e-touring/tesoro-neo-x/tesoro-neo-x-2-smu,https://embed.widencdn.net/img/dorelrl/apxlldyrh9/500px@1x/C21_C66321M_Tesoro_Neo_X_MDN_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/nnnl7qiuji/500px@1x/C21_C66321M_Tesoro_Neo_X_MDN_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOSE 2,SE 2,"$4,050","Our fastest gravel race bike, 2x11 Shimano GRX shifting",/en-us/bikes/road/gravel/supersix-evo-se/supersix-evo-se-2,https://embed.widencdn.net/img/dorelrl/jc8trk2yiv/500px@1x/C22_C17272U_SuperSix_EVO_SE_2_OGN_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/cyysrc9hmk/500px@1x/C22_C17272U_SuperSix_EVO_SE_2_OGN_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOCX,CX,"$4,050",Our fastest cyclocross race bike with 1x11 SRAM Force shifting,/en-us/bikes/road/cyclocross/supersix-evo-cx/supersix-evo-cx,https://embed.widencdn.net/img/dorelrl/x4aqwx2nmt/500px@1x/C22_C17201U_SuperSix_EVO_CX_GDT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/emcjhw75nt/500px@1x/C22_C17201U_SuperSix_EVO_CX_GDT_3Q.jpg?color=f8f8f8&q=90
Scalpel HTCarbon 3,Carbon 3,"$3,025","A hardtail with razor-sharp precision, Shimano SLX shifting & 100mm RockShox SID fork",/en-us/bikes/mountain/cross-country/scalpel-ht/scalpel-ht-carbon-3,https://embed.widencdn.net/img/dorelrl/r7ozljia2s/500px@1x/C21_C25301U_Scalpel_HT_Crb_3_BLK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/mfjz9i2vug/500px@1x/C21_C25301U_Scalpel_HT_Crb_3_BLK_3Q.jpg?color=f8f8f8&q=90
Topstone Carbon3 L,3 L,"$3,325","Gravel bike with rear suspension, SmartSense lights & Shimano GRX800/600 11-speed shifting",/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-3-l/2022,https://embed.widencdn.net/img/dorelrl/lwdsgt6law/500px@1x/C22_C15302U_Topstone_Crb_3_L_CRB_PD.jpg?color=f8f8f8&q=90,N/A
